plot_sensor,label_name,color,marker,line_style
P0,T1,r,None,solid
P1,T2,r,None,dashed
P6,T3,r,None,dashdot
P7,T4,r,None,dotted
P31,T5,r,+,solid
P2,I1,g,None,solid
P3,I2,g,None,dashed
P4,I3,g,None,dashdot
P30,M1,m,None,solid
P29,M2,m,None,dashed
P28,M3,m,None,dashdot
P14,R1,y,None,solid
P15,R2,y,None,dashed
P23,R3,y,None,dashdot
P10,P1,b,None,solid
P11,P2,b,None,dashed
P12,P3,b,None,dashdot
P21,W1,c,None,solid
P20,W2,c,None,dashed
P19,W3,c,None,dashdot
P18,W4,c,None,dotted
P22,BF1,k,None,solid
P27,BF2,k,None,dashed
P5,BF3,k,None,dashdot
P26,BF4,k,None,dotted
