
SetupTitle, NoSoftdeviceIMU
PrimitiveTest, I/V-t Sampling
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, I1
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.05
TestParameter, Output.Graph.YAxis.Top, 0.05
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
TestParameter, Measurement.Sampling.StopCondition.Enabled, false
TestParameter, Measurement.Sampling.StopCondition.EnableDelay, 0
TestParameter, Measurement.Sampling.StopCondition.Name, 
TestParameter, Measurement.Sampling.StopCondition.Threshold, 0
TestParameter, Measurement.Sampling.StopCondition.Event, Val > Th
TestParameter, Measurement.Sampling.StopCondition.EventCount, 1
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 04/28/2022 19:58:00
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 7
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 91ce88f1-bc79-413b-a1b0-8885c483e875
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Time
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, s
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0.015000000000000001
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 25.000000000000004
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, I1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 0.013
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.025
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 1.6002801681008605
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -1.083333333333333
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 1.6002801681008605
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -1.083333333333333
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 1.6002801681008605
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -1.083333333333333
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 1.6002801681008605
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -1.083333333333333
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 1.6002801681008605
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -1.083333333333333
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, NoSoftdeviceIMU
Dimension1, 100000, 100000
Dimension2, 1, 1
DataName, Time, I1
DataValue, 0.015330000000000002, 0.020638
DataValue, 0.02065, 0.020630000000000003
DataValue, 0.024650000000000002, 0.020816
DataValue, 0.028690000000000004, 0.020792
DataValue, 0.032690000000000004, 0.019824
DataValue, 0.03669, 0.01999
DataValue, 0.04064, 0.019866
DataValue, 0.045090000000000005, 0.019848
DataValue, 0.048630000000000007, 0.01983
DataValue, 0.05263, 0.019876
DataValue, 0.056620000000000004, 0.020094
DataValue, 0.060940000000000008, 0.019892000000000003
DataValue, 0.06463, 0.019888000000000003
DataValue, 0.06863000000000001, 0.019924
DataValue, 0.07266, 0.019886
DataValue, 0.076680000000000012, 0.020146
DataValue, 0.081050000000000011, 0.019892000000000003
DataValue, 0.08464, 0.019928
DataValue, 0.088750000000000009, 0.019922000000000002
DataValue, 0.092640000000000014, 0.019904
DataValue, 0.09664, 0.020124000000000003
DataValue, 0.10069, 0.01992
DataValue, 0.10463000000000002, 0.019934
DataValue, 0.10865000000000001, 0.019924
DataValue, 0.11267, 0.019930000000000003
DataValue, 0.11664000000000001, 0.02015
DataValue, 0.12076, 0.019932000000000002
DataValue, 0.12464000000000002, 0.019954000000000003
DataValue, 0.12867, 0.019928
DataValue, 0.13266, 0.019934
DataValue, 0.13754000000000002, 0.019894000000000002
DataValue, 0.14064000000000002, 0.019896
DataValue, 0.14463, 0.019874000000000003
DataValue, 0.14912, 0.020098
DataValue, 0.15285, 0.01991
DataValue, 0.15669000000000002, 0.020110000000000003
DataValue, 0.16063000000000002, 0.019896
DataValue, 0.16465000000000002, 0.019906
DataValue, 0.16863, 0.019928
DataValue, 0.17265000000000003, 0.019912000000000003
DataValue, 0.17663, 0.020128
DataValue, 0.18069000000000002, 0.01984
DataValue, 0.18463000000000002, 0.01983
DataValue, 0.18868000000000001, 0.019834
DataValue, 0.19268000000000002, 0.019856000000000002
DataValue, 0.19668000000000002, 0.020072000000000003
DataValue, 0.20123000000000002, 0.019876
DataValue, 0.20464000000000002, 0.019878000000000003
DataValue, 0.20863, 0.019892000000000003
DataValue, 0.21262000000000003, 0.019852
DataValue, 0.21702000000000002, 0.020006000000000003
DataValue, 0.22063000000000002, 0.019834
DataValue, 0.22467, 0.019862
DataValue, 0.22867, 0.019852
DataValue, 0.23290000000000002, 0.019898000000000002
DataValue, 0.23663, 0.019804000000000002
DataValue, 0.24067000000000002, 0.019878000000000003
DataValue, 0.24482, 0.019882
DataValue, 0.24864000000000003, 0.019792
DataValue, 0.25263, 0.019794000000000003
DataValue, 0.25667, 0.019808000000000003
DataValue, 0.26084, 0.019888000000000003
DataValue, 0.26565, 0.0198
DataValue, 0.26938, 0.014316
DataValue, 0.27269000000000004, 0.014004
DataValue, 0.27669000000000005, 0.014012000000000002
DataValue, 0.28065, 0.013994000000000001
DataValue, 0.28479000000000004, 0.014078000000000002
DataValue, 0.28865, 0.014004
DataValue, 0.29265, 0.014026000000000002
DataValue, 0.29678000000000004, 0.014174
DataValue, 0.30069, 0.0205
DataValue, 0.30469, 0.020478000000000003
DataValue, 0.30868, 0.020148000000000003
DataValue, 0.31263, 0.021104
DataValue, 0.31669, 0.020982
DataValue, 0.32063, 0.020220000000000002
DataValue, 0.32597000000000004, 0.020088
DataValue, 0.32863000000000003, 0.020108
DataValue, 0.33263000000000004, 0.020006000000000003
DataValue, 0.33662000000000003, 0.020334
DataValue, 0.34206000000000003, 0.020200000000000003
DataValue, 0.34464, 0.020784
DataValue, 0.34863000000000005, 0.017396000000000002
DataValue, 0.35262000000000004, 0.01742
DataValue, 0.35782, 0.01742
DataValue, 0.36151000000000005, 0.017660000000000002
DataValue, 0.36469, 0.017354
DataValue, 0.36868, 0.017352000000000003
DataValue, 0.37274, 0.017342
DataValue, 0.37664000000000003, 0.017648
DataValue, 0.38064000000000003, 0.017454
DataValue, 0.38467, 0.017452000000000002
DataValue, 0.38891000000000003, 0.017650000000000002
DataValue, 0.39265000000000005, 0.017458
DataValue, 0.39668000000000003, 0.017678000000000003
DataValue, 0.40064000000000005, 0.017472
DataValue, 0.40463000000000005, 0.017448
DataValue, 0.40869000000000005, 0.017478
DataValue, 0.41263000000000005, 0.017484000000000003
DataValue, 0.41679000000000005, 0.017592
DataValue, 0.42064, 0.017466000000000002
DataValue, 0.42462000000000005, 0.017476000000000002
DataValue, 0.42867000000000005, 0.01745
DataValue, 0.43279, 0.017412
DataValue, 0.43762, 0.017474
DataValue, 0.44468, 0.017484000000000003
DataValue, 0.44864000000000004, 0.017468
DataValue, 0.45264000000000004, 0.017490000000000002
DataValue, 0.45668000000000003, 0.017716000000000003
DataValue, 0.46064000000000005, 0.017488
DataValue, 0.46468000000000004, 0.017480000000000002
DataValue, 0.46868000000000004, 0.017496
DataValue, 0.47268000000000004, 0.017506
DataValue, 0.47673000000000004, 0.017696
DataValue, 0.48068000000000005, 0.017512000000000003
DataValue, 0.48468000000000006, 0.017496
DataValue, 0.48864, 0.0175
DataValue, 0.49264, 0.017498000000000003
DataValue, 0.49668000000000007, 0.017712000000000002
DataValue, 0.50064000000000008, 0.017498000000000003
DataValue, 0.50468, 0.017496
DataValue, 0.50864000000000009, 0.0175
DataValue, 0.51268, 0.017506
DataValue, 0.51668, 0.017736000000000002
DataValue, 0.52064, 0.017534
DataValue, 0.52464, 0.017526
DataValue, 0.52871, 0.017532000000000002
DataValue, 0.53264, 0.01751
DataValue, 0.53667000000000009, 0.017758000000000003
DataValue, 0.54067000000000009, 0.017546000000000003
DataValue, 0.54508, 0.017418000000000003
DataValue, 0.54888, 0.017534
DataValue, 0.55268000000000006, 0.01753
DataValue, 0.55663000000000007, 0.017532000000000002
DataValue, 0.56137, 0.017552
DataValue, 0.56464, 0.017646000000000002
DataValue, 0.56867, 0.017528000000000002
DataValue, 0.57267, 0.017538
DataValue, 0.57668000000000008, 0.017602000000000003
DataValue, 0.58168000000000009, 0.017586
DataValue, 0.58468000000000009, 0.017650000000000002
DataValue, 0.58864, 0.017442000000000003
DataValue, 0.59264000000000006, 0.017444
DataValue, 0.59663, 0.017452000000000002
DataValue, 0.60063, 0.017464
DataValue, 0.60491000000000006, 0.017548
DataValue, 0.6097, 0.017660000000000002
DataValue, 0.61268, 0.01745
DataValue, 0.61664000000000008, 0.017448
DataValue, 0.62068, 0.017458
DataValue, 0.62464000000000008, 0.017692000000000003
DataValue, 0.62864000000000009, 0.01751
DataValue, 0.63264000000000009, 0.017532000000000002
DataValue, 0.63668, 0.023346000000000002
DataValue, 0.6406400000000001, 0.017594000000000002
DataValue, 0.6446400000000001, 0.0178
DataValue, 0.64864000000000011, 0.017574000000000003
DataValue, 0.65402, 0.017572
DataValue, 0.65663, 0.017574000000000003
DataValue, 0.66064, 0.017586
DataValue, 0.66467000000000009, 0.017812
DataValue, 0.66988, 0.017606
DataValue, 0.67268000000000006, 0.017616000000000003
DataValue, 0.6766700000000001, 0.017602000000000003
DataValue, 0.68063000000000007, 0.017622000000000002
DataValue, 0.68603, 0.017622000000000002
DataValue, 0.69269, 0.017626000000000003
DataValue, 0.69677000000000011, 0.017534
DataValue, 0.70064, 0.017608000000000002
DataValue, 0.70468000000000008, 0.017852000000000003
DataValue, 0.70868000000000009, 0.017634
DataValue, 0.71268000000000009, 0.017626000000000003
DataValue, 0.71668000000000009, 0.017628
DataValue, 0.72064000000000006, 0.017654000000000003
DataValue, 0.72464000000000006, 0.017858000000000002
DataValue, 0.72864000000000007, 0.017632000000000002
DataValue, 0.73266000000000009, 0.017640000000000003
DataValue, 0.73664000000000007, 0.019382000000000003
DataValue, 0.74073000000000011, 0.017666
DataValue, 0.74464000000000008, 0.017896000000000002
DataValue, 0.74864000000000008, 0.017654000000000003
DataValue, 0.75274000000000008, 0.01767
DataValue, 0.75668, 0.017674000000000002
DataValue, 0.76064000000000009, 0.01769
DataValue, 0.7646400000000001, 0.017920000000000002
DataValue, 0.7686400000000001, 0.017718
DataValue, 0.77268, 0.017694
DataValue, 0.77683, 0.017732
DataValue, 0.78067000000000009, 0.017720000000000003
DataValue, 0.78468, 0.017942000000000003
DataValue, 0.78867000000000009, 0.017738
DataValue, 0.79276, 0.017738
DataValue, 0.79749, 0.017862000000000003
DataValue, 0.80063000000000006, 0.017772000000000003
DataValue, 0.8047200000000001, 0.017990000000000003
DataValue, 0.80863000000000007, 0.017796000000000003
DataValue, 0.81269, 0.017810000000000003
DataValue, 0.81667000000000012, 0.017812
DataValue, 0.82068000000000008, 0.017836
DataValue, 0.82463000000000009, 0.017910000000000002
DataValue, 0.82869, 0.017834000000000003
DataValue, 0.83267, 0.017856
DataValue, 0.83669, 0.017882000000000002
DataValue, 0.84211, 0.0178
DataValue, 0.8449000000000001, 0.018104000000000002
DataValue, 0.84867, 0.017908
DataValue, 0.85267, 0.018038000000000002
DataValue, 0.85742000000000007, 0.018182
DataValue, 0.86067, 0.017902
DataValue, 0.86467, 0.017788
DataValue, 0.86862000000000006, 0.0178
DataValue, 0.87321, 0.017912
DataValue, 0.87663, 0.017838000000000003
DataValue, 0.88067000000000006, 0.017858000000000002
DataValue, 0.88467000000000007, 0.017756
DataValue, 0.88943, 0.017862000000000003
DataValue, 0.8934200000000001, 0.017886000000000003
DataValue, 0.89668, 0.017792000000000002
DataValue, 0.90064000000000011, 0.017806000000000002
DataValue, 0.90468, 0.017858000000000002
DataValue, 0.90864000000000011, 0.017810000000000003
DataValue, 0.91264000000000012, 0.018064
DataValue, 0.91664000000000012, 0.017882000000000002
DataValue, 0.92064000000000012, 0.017804
DataValue, 0.92464000000000013, 0.01769
DataValue, 0.92864, 0.017704
DataValue, 0.93282000000000009, 0.017830000000000002
DataValue, 0.93668000000000007, 0.017732
DataValue, 0.94067000000000012, 0.017728
DataValue, 0.94463000000000008, 0.017616000000000003
DataValue, 0.94876, 0.017544
DataValue, 0.95268000000000008, 0.017848000000000003
DataValue, 0.95668000000000009, 0.017632000000000002
DataValue, 0.96067, 0.017668000000000003
DataValue, 0.96475000000000011, 0.017566000000000002
DataValue, 0.96942000000000006, 0.017676
DataValue, 0.97267, 0.017892
