
SetupTitle, NoSoftdevice2IMU
PrimitiveTest, I/V-t Sampling
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, I1
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.05
TestParameter, Output.Graph.YAxis.Top, 0.05
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
TestParameter, Measurement.Sampling.StopCondition.Enabled, false
TestParameter, Measurement.Sampling.StopCondition.EnableDelay, 0
TestParameter, Measurement.Sampling.StopCondition.Name, 
TestParameter, Measurement.Sampling.StopCondition.Threshold, 0
TestParameter, Measurement.Sampling.StopCondition.Event, Val > Th
TestParameter, Measurement.Sampling.StopCondition.EventCount, 1
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 04/28/2022 20:00:34
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 8
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 54049a83-142a-4170-933b-3264859aab5d
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Time
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, s
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0.015000000000000001
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 36
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, I1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 0.019
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.039
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 1.111101847992219
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.95
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 1.111101847992219
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.95
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 1.111101847992219
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.95
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 1.111101847992219
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.95
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 1.111101847992219
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.95
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, NoSoftdevice2IMU
Dimension1, 100000, 100000
Dimension2, 1, 1
DataName, Time, I1
DataValue, 0.01535, 0.032876
DataValue, 0.02066, 0.031528
DataValue, 0.024650000000000002, 0.031496
DataValue, 0.028650000000000002, 0.031402
DataValue, 0.032650000000000005, 0.031306
DataValue, 0.036640000000000006, 0.031698000000000004
DataValue, 0.040630000000000006, 0.031374000000000006
DataValue, 0.046160000000000007, 0.031268000000000004
DataValue, 0.052690000000000008, 0.031398
DataValue, 0.056690000000000004, 0.031804000000000006
DataValue, 0.061320000000000006, 0.031472
DataValue, 0.06465, 0.031448000000000004
DataValue, 0.06865, 0.031482
DataValue, 0.07265, 0.031488
DataValue, 0.07782, 0.031398
DataValue, 0.08465, 0.03151
DataValue, 0.08869, 0.03152
DataValue, 0.092720000000000011, 0.031452
DataValue, 0.096690000000000012, 0.031916
DataValue, 0.10065, 0.031524
DataValue, 0.10463000000000002, 0.031516
DataValue, 0.10864000000000001, 0.031502
DataValue, 0.11269000000000001, 0.031524
DataValue, 0.11664000000000001, 0.031946
DataValue, 0.12084, 0.031326
DataValue, 0.12489000000000002, 0.031448000000000004
DataValue, 0.12864, 0.031534
DataValue, 0.13268000000000002, 0.03152
DataValue, 0.13695000000000002, 0.031588000000000005
DataValue, 0.1411, 0.031432
DataValue, 0.14464000000000002, 0.031402
DataValue, 0.14863, 0.031426
DataValue, 0.15285, 0.031324000000000005
DataValue, 0.15683000000000003, 0.031740000000000004
DataValue, 0.16065000000000002, 0.031398
DataValue, 0.16469, 0.031424
DataValue, 0.16952, 0.031556
DataValue, 0.17301000000000003, 0.031312
DataValue, 0.17669, 0.031868
DataValue, 0.18069000000000002, 0.031372000000000004
DataValue, 0.18604, 0.031224000000000002
DataValue, 0.18891000000000002, 0.031208000000000003
DataValue, 0.19265000000000002, 0.031308
DataValue, 0.19664, 0.031756
DataValue, 0.20189000000000001, 0.031664000000000005
DataValue, 0.20865000000000003, 0.031332000000000006
DataValue, 0.21265, 0.031324000000000005
DataValue, 0.21665, 0.031678000000000005
DataValue, 0.22069000000000003, 0.031360000000000006
DataValue, 0.22465000000000002, 0.031448000000000004
DataValue, 0.22865000000000002, 0.031290000000000005
DataValue, 0.23328000000000002, 0.03134
DataValue, 0.23665000000000003, 0.031438
DataValue, 0.24069000000000002, 0.0313
DataValue, 0.24469000000000002, 0.031406
DataValue, 0.24865, 0.031262000000000005
DataValue, 0.25265000000000004, 0.031268000000000004
DataValue, 0.25663, 0.031498000000000005
DataValue, 0.26067, 0.031254000000000004
DataValue, 0.26471, 0.031456000000000005
DataValue, 0.26865, 0.025482
DataValue, 0.27269000000000004, 0.019620000000000002
DataValue, 0.27685000000000004, 0.020136
DataValue, 0.28189000000000003, 0.020144000000000002
DataValue, 0.28869, 0.019610000000000002
DataValue, 0.29284000000000004, 0.019716
DataValue, 0.29714, 0.01991
DataValue, 0.30102, 0.025692000000000003
DataValue, 0.30468, 0.031972
DataValue, 0.30884, 0.032536
DataValue, 0.31324, 0.03175
DataValue, 0.31664000000000003, 0.032034
DataValue, 0.32067, 0.031736
DataValue, 0.32482000000000005, 0.031796000000000005
DataValue, 0.32876000000000005, 0.031506
DataValue, 0.33263000000000004, 0.03153
DataValue, 0.33664000000000005, 0.032314
DataValue, 0.3421, 0.03876
DataValue, 0.34492, 0.032914000000000006
DataValue, 0.34863000000000005, 0.030130000000000004
DataValue, 0.35269, 0.02628
DataValue, 0.35808, 0.026400000000000003
DataValue, 0.36069, 0.026296000000000003
DataValue, 0.36467000000000005, 0.026404000000000004
DataValue, 0.36865000000000003, 0.026634
DataValue, 0.37397, 0.026600000000000002
DataValue, 0.38064000000000003, 0.026396000000000003
DataValue, 0.38464000000000004, 0.026394
DataValue, 0.38998000000000005, 0.026424000000000003
DataValue, 0.39664000000000005, 0.026628000000000002
DataValue, 0.40069000000000005, 0.026414000000000003
DataValue, 0.40589000000000003, 0.026334000000000003
DataValue, 0.41265, 0.026424000000000003
DataValue, 0.41669000000000006, 0.026624000000000002
DataValue, 0.42069, 0.026420000000000003
DataValue, 0.42467000000000005, 0.026422
DataValue, 0.42867000000000005, 0.026632000000000003
DataValue, 0.43262000000000006, 0.026422
DataValue, 0.43665000000000004, 0.026642000000000002
DataValue, 0.44069, 0.031330000000000004
DataValue, 0.44469000000000003, 0.026454000000000002
DataValue, 0.44881000000000004, 0.026668
DataValue, 0.45269000000000004, 0.026462000000000003
DataValue, 0.45665000000000006, 0.026660000000000003
DataValue, 0.46069000000000004, 0.02645
DataValue, 0.46469000000000005, 0.026466000000000003
DataValue, 0.46865, 0.026662
DataValue, 0.47262000000000004, 0.026446
DataValue, 0.47662000000000004, 0.026662
DataValue, 0.48080000000000006, 0.026454000000000002
DataValue, 0.48502000000000006, 0.026424000000000003
DataValue, 0.48865000000000003, 0.026674000000000003
DataValue, 0.49265000000000003, 0.02646
DataValue, 0.49679000000000006, 0.026676000000000002
DataValue, 0.50117, 0.026682
DataValue, 0.50469000000000008, 0.026472000000000002
DataValue, 0.50865, 0.026704000000000002
DataValue, 0.51412, 0.026714
DataValue, 0.51695, 0.026608000000000003
DataValue, 0.52065000000000006, 0.026480000000000004
DataValue, 0.52465000000000006, 0.026498
DataValue, 0.53009000000000006, 0.026394
DataValue, 0.53298, 0.026386000000000003
DataValue, 0.53669, 0.031282000000000004
DataValue, 0.54069, 0.029474000000000004
DataValue, 0.54469, 0.026492
DataValue, 0.54865000000000008, 0.026500000000000003
DataValue, 0.55267, 0.026516
DataValue, 0.55662, 0.026632000000000003
DataValue, 0.56156000000000006, 0.026544
DataValue, 0.5646500000000001, 0.026422
DataValue, 0.56869, 0.026536000000000004
DataValue, 0.57269, 0.026516
DataValue, 0.57665, 0.026662
DataValue, 0.58069, 0.026456000000000004
DataValue, 0.58462, 0.026544
DataValue, 0.58862, 0.026318
DataValue, 0.59273000000000009, 0.026520000000000002
DataValue, 0.59667, 0.026636000000000003
DataValue, 0.6009000000000001, 0.02653
DataValue, 0.60464000000000007, 0.026520000000000002
DataValue, 0.60864000000000007, 0.026368000000000003
DataValue, 0.61264000000000007, 0.026382000000000003
DataValue, 0.61667, 0.02654
DataValue, 0.6208800000000001, 0.02653
DataValue, 0.62464000000000008, 0.026640000000000004
DataValue, 0.62867000000000006, 0.026374
DataValue, 0.63267000000000007, 0.026428000000000004
DataValue, 0.63693000000000011, 0.029082000000000004
DataValue, 0.64068, 0.026446
DataValue, 0.64467000000000008, 0.026660000000000003
DataValue, 0.64866, 0.026456000000000004
DataValue, 0.65277000000000007, 0.026448000000000003
DataValue, 0.65668, 0.026670000000000003
DataValue, 0.66063, 0.026496000000000002
DataValue, 0.66463, 0.026778000000000003
DataValue, 0.6695000000000001, 0.026752
DataValue, 0.67269, 0.026448000000000003
DataValue, 0.67663000000000006, 0.026758000000000004
DataValue, 0.68063000000000007, 0.026546000000000004
DataValue, 0.68601, 0.026560000000000004
DataValue, 0.68868000000000007, 0.026466000000000003
DataValue, 0.69263000000000008, 0.026546000000000004
DataValue, 0.69662, 0.026772
DataValue, 0.70184, 0.026830000000000003
DataValue, 0.70464, 0.026802000000000003
DataValue, 0.70867, 0.026570000000000003
DataValue, 0.71266000000000007, 0.026586000000000002
DataValue, 0.71749000000000007, 0.026574000000000004
DataValue, 0.72064000000000006, 0.026594000000000003
DataValue, 0.72463000000000011, 0.026806000000000003
DataValue, 0.72862, 0.026590000000000003
DataValue, 0.73327000000000009, 0.026488
DataValue, 0.73668000000000011, 0.026820000000000004
DataValue, 0.74063, 0.026594000000000003
DataValue, 0.74467, 0.0268
DataValue, 0.74899, 0.026534000000000002
DataValue, 0.75263, 0.026618000000000003
DataValue, 0.75663, 0.026826000000000003
DataValue, 0.76067000000000007, 0.026618000000000003
DataValue, 0.76489000000000007, 0.026716000000000004
DataValue, 0.7686400000000001, 0.026618000000000003
DataValue, 0.77263, 0.026614000000000002
DataValue, 0.77663, 0.02679
DataValue, 0.78116000000000008, 0.02662
DataValue, 0.78468, 0.026860000000000002
DataValue, 0.78867000000000009, 0.026648
DataValue, 0.7928400000000001, 0.026546000000000004
DataValue, 0.79664, 0.026854000000000003
DataValue, 0.8006700000000001, 0.026640000000000004
DataValue, 0.80467000000000011, 0.02688
DataValue, 0.80874, 0.026656000000000003
DataValue, 0.81267000000000011, 0.026996000000000003
DataValue, 0.81668000000000007, 0.026846000000000002
DataValue, 0.82063000000000008, 0.026580000000000003
DataValue, 0.82477000000000011, 0.026884
DataValue, 0.82864, 0.026578
DataValue, 0.83264, 0.026602
DataValue, 0.8366300000000001, 0.031716
DataValue, 0.84148000000000012, 0.027026
DataValue, 0.8446800000000001, 0.027036
DataValue, 0.84863000000000011, 0.02661
DataValue, 0.85267, 0.026626000000000004
DataValue, 0.85794, 0.026650000000000004
DataValue, 0.86068000000000011, 0.026638000000000002
DataValue, 0.86467, 0.027062000000000003
DataValue, 0.86862000000000006, 0.026668
DataValue, 0.8737100000000001, 0.026654
DataValue, 0.87668000000000013, 0.026674000000000003
DataValue, 0.88063, 0.026728000000000002
DataValue, 0.88462000000000007, 0.027200000000000002
DataValue, 0.88940000000000008, 0.027014000000000003
DataValue, 0.8926400000000001, 0.026802000000000003
DataValue, 0.89663, 0.026802000000000003
DataValue, 0.90067000000000008, 0.026774000000000003
DataValue, 0.90517, 0.026776
DataValue, 0.90863, 0.026854000000000003
DataValue, 0.91266, 0.026834000000000004
DataValue, 0.91663000000000006, 0.026878000000000003
DataValue, 0.92107, 0.026772
DataValue, 0.9246700000000001, 0.027312000000000003
DataValue, 0.92867000000000011, 0.026888000000000002
DataValue, 0.93267000000000011, 0.026906000000000003
DataValue, 0.93664, 0.029704
DataValue, 0.94063000000000008, 0.026936
DataValue, 0.94462000000000013, 0.027146000000000003
DataValue, 0.94886, 0.026776
DataValue, 0.95268000000000008, 0.026892000000000003
DataValue, 0.95667000000000013, 0.026874000000000002
DataValue, 0.96063000000000009, 0.026816000000000003
DataValue, 0.96476000000000006, 0.027344000000000004
DataValue, 0.9686800000000001, 0.026932
DataValue, 0.97267, 0.026924000000000003
DataValue, 0.97667, 0.026832
DataValue, 0.98076000000000008, 0.026876000000000004
