P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
3120,1683,971,1415,821,1568,1555,914,914,2443,3467,1419,1327,2570,1419,1959,2698,1138,1160,949,883,1542,1727
3128,1639,962,1441,812,1564,1529,914,931,2443,3427,1441,1353,2601,1480,2025,2707,1168,1155,966,918,1533,1713
3159,1661,988,1415,747,1564,1568,878,905,2509,3348,1502,1349,2592,1415,2074,2733,1190,1111,936,887,1494,1718
3172,1669,949,1397,804,1586,1538,900,909,2469,3445,1476,1340,2588,1432,2047,2720,1116,1195,940,909,1542,1691
3115,1652,1001,1393,821,1582,1568,892,900,2443,3476,1432,1397,2526,1476,2056,2685,1120,1133,966,922,1520,1713
3172,1674,962,1401,804,1524,1564,865,900,2469,3498,1458,1366,2575,1467,2043,2707,1129,1160,971,909,1524,1718
3128,1665,1015,1419,799,1595,1582,909,914,2496,3445,1432,1344,2575,1423,2034,2715,1120,1142,958,958,1507,1722
3164,1647,993,1437,782,1524,1555,883,909,2346,3515,1458,1388,2553,1415,2030,2711,1129,1129,971,914,1507,1749
3142,1608,984,1410,808,1604,1551,856,918,2342,3454,1437,1327,2575,1415,2039,2689,1186,1151,971,905,1542,1718
3150,1652,984,1423,804,1568,1577,852,940,2447,3454,1415,1340,2579,1410,2034,2733,1146,1133,1006,927,1520,1718
3124,1652,979,1419,826,1577,1573,852,949,2408,3454,1454,1401,2575,1432,2008,2685,1146,1133,914,927,1520,1678
3146,1661,975,1428,791,1555,1524,905,922,2438,3489,1454,1357,2562,1441,2039,2698,1177,1155,949,892,1542,1744
3177,1643,971,1397,795,1573,1586,861,914,2377,3480,1419,1397,2548,1441,2034,2702,1195,1116,971,922,1502,1713
3137,1643,962,1437,804,1590,1573,861,927,2509,3471,1450,1357,2579,1423,1995,2724,1164,1129,958,927,1516,1709
