Time,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,IMU5,IMU6,IMU7,IMU8,IMU9,PinkyMCPY,PinkyMCPZ,PinkyPIPY,PinkyPIPZ,PinkyDIPY,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPY,RingPIPZ,RingDIPY,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPY,MiddlePIPZ,MiddleDIPY,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPY,IndexPIPZ,IndexDIPY,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPY,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-23 15:05:20.910223-07:00,321.637081,306.0705562,396.251772,345.6382221,316.7966632,324.0362392,343.5653008,372.987796,365.2817759,310.0205303,397.0156578,349.3930984,348.029923,333.6289162,373.7072884,319.446748,338.4636753,316.0887062,400.3075882,354.9842106,362.8008316,335.0625808,342.8986382,379.1939141,372.1622472,381.0140704,344.9275355,340.680004,310.3743412,358.339206,345.9965964,325.3868224,335.5763366,-0.420065,-0.577656,-0.420065,-0.577656,-0.420065,-0.577656,-0.496838,-0.49298,-0.496838,-0.49298,-0.496838,-0.49298,-0.472318,-0.497602,-0.464964,-0.490506,-0.45752,-0.483314,-0.542054,-0.38973,-0.493296,-0.329893,-0.439653,-0.266788,-0.420065,-0.577656,-0.420065,-0.577656,-0.420065,-0.577656,-0.496838,-0.49298,-0.496838,-0.49298
2022-05-23 15:05:20.911203-07:00,319.8798519,308.2864772,396.1788535,343.3455506,316.8975156,324.7054328,342.7109123,374.5112066,365.1483227,311.543417,397.5081538,351.9060707,348.8711504,335.0398727,373.6780897,320.6698098,337.7379077,316.105685,400.8167702,355.1010134,362.7665975,337.6257527,343.5317295,376.8563469,373.1347465,382.4028641,345.7223839,342.2826839,309.9341912,357.7663741,347.6379637,325.2630586,334.2441637,-0.419631,-0.577919,-0.419631,-0.577919,-0.419631,-0.577919,-0.496318,-0.493103,-0.496318,-0.493103,-0.496318,-0.493103,-0.471655,-0.497607,-0.464281,-0.49049,-0.456816,-0.483276,-0.541334,-0.389914,-0.492568,-0.330024,-0.438923,-0.266867,-0.419631,-0.577919,-0.419631,-0.577919,-0.419631,-0.577919,-0.496318,-0.493103,-0.496318,-0.493103
2022-05-23 15:05:20.970489-07:00,321.8657485,307.4102799,396.5202671,343.6678195,317.6103537,325.0381306,343.3832351,373.4529459,364.8881657,312.5332429,397.630072,350.2842443,348.8949629,334.7331543,374.3471572,321.231786,338.2348398,314.2106832,401.9395268,357.1221549,361.5723903,336.0846491,341.9786294,379.2868058,372.7182803,381.3586446,345.0885457,341.0051717,310.4724423,357.7954713,345.5785248,323.1873623,335.2597312,-0.419925,-0.577966,-0.419925,-0.577966,-0.419925,-0.577966,-0.496539,-0.493119,-0.496539,-0.493119,-0.496539,-0.493119,-0.471772,-0.4975,-0.464408,-0.490392,-0.456953,-0.483188,-0.541303,-0.389883,-0.492528,-0.329962,-0.438872,-0.26677,-0.419925,-0.577966,-0.419925,-0.577966,-0.419925,-0.577966,-0.496539,-0.493119,-0.496539,-0.493119
2022-05-23 15:05:21.030314-07:00,320.5681632,308.5857805,395.3664808,344.8685881,315.9995795,324.1695878,342.2782875,374.2680171,368.5043929,310.8622531,399.2596409,351.1016441,349.9576755,333.2368414,376.1060569,320.291803,337.2844925,314.0147876,400.0117943,354.8797776,364.2227239,335.0285658,342.5658845,380.6803476,373.1608467,381.1033454,344.745651,341.4132291,310.4373656,359.3776966,346.3598027,325.168365,334.9301695,-0.420013,-0.578458,-0.420013,-0.578458,-0.420013,-0.578458,-0.496592,-0.493562,-0.496592,-0.493562,-0.496592,-0.493562,-0.471966,-0.498117,-0.464618,-0.491032,-0.457179,-0.483852,-0.541653,-0.390375,-0.492854,-0.330512,-0.439168,-0.267371,-0.420013,-0.578458,-0.420013,-0.578458,-0.420013,-0.578458,-0.496592,-0.493562,-0.496592,-0.493562
2022-05-23 15:05:21.060994-07:00,321.5341762,308.1262077,398.1898743,344.0402762,317.0071443,323.5190068,346.045668,374.2609202,364.3643711,309.5893741,399.2025069,351.4579625,349.5100382,333.045336,373.4146706,320.2837739,337.9751267,314.0584866,399.9382594,355.2810845,362.2262054,336.5387248,341.7112086,379.5970616,371.6871879,382.8099378,343.7040915,339.4723976,311.5475755,358.694049,346.3971145,324.8736373,335.006132,-0.419776,-0.578876,-0.419776,-0.578876,-0.419776,-0.578876,-0.496462,-0.494073,-0.496462,-0.494073,-0.496462,-0.494073,-0.471845,-0.498581,-0.464399,-0.491414,-0.45686,-0.484149,-0.541565,-0.390795,-0.492585,-0.330819,-0.438694,-0.267544,-0.419776,-0.578876,-0.419776,-0.578876,-0.419776,-0.578876,-0.496462,-0.494073,-0.496462,-0.494073
2022-05-23 15:05:21.150354-07:00,320.6391262,308.6005596,395.6364869,344.4176796,315.3141882,324.3151827,342.8966482,374.1623921,366.2192308,311.3090691,398.3641685,351.1727009,348.1149706,334.0837595,374.4913313,320.5684902,336.6078058,314.3674571,399.8111665,353.5914746,363.1850804,335.6500098,342.395178,379.0720727,371.4474104,382.098794,346.0684551,340.2899494,311.3313442,359.0530695,346.7836336,324.2664685,333.826814,-0.419549,-0.579056,-0.419549,-0.579056,-0.419549,-0.579056,-0.49627,-0.494347,-0.49627,-0.494347,-0.49627,-0.494347,-0.471588,-0.498801,-0.464085,-0.491582,-0.456488,-0.484263,-0.541321,-0.391097,-0.492304,-0.331087,-0.438374,-0.267773,-0.419549,-0.579056,-0.419549,-0.579056,-0.419549,-0.579056,-0.49627,-0.494347,-0.49627,-0.494347
2022-05-23 15:05:21.180399-07:00,323.6178072,309.1306521,397.7408716,343.5961982,316.4361549,323.2648307,343.1651064,373.6912379,366.8154233,310.0351053,399.1932272,351.3334026,349.1440173,334.5739979,374.1124431,319.4615842,339.1436889,315.6491076,400.4027378,354.4130431,362.0989825,336.6500788,340.5742725,377.4148843,371.3985308,381.5953559,344.8999874,341.0082838,310.9211874,359.1908179,345.1837199,326.0695995,336.2610839,-0.419533,-0.578736,-0.419533,-0.578736,-0.419533,-0.578736,-0.496055,-0.493895,-0.496055,-0.493895,-0.496055,-0.493895,-0.471576,-0.49857,-0.464082,-0.491357,-0.456495,-0.484046,-0.541229,-0.390803,-0.492174,-0.330732,-0.438201,-0.267355,-0.419533,-0.578736,-0.419533,-0.578736,-0.419533,-0.578736,-0.496055,-0.493895,-0.496055,-0.493895
2022-05-23 15:05:21.210505-07:00,322.258798,308.2847059,397.657709,344.0078056,316.8238561,325.1776319,344.5320178,375.4854226,366.3252498,312.0801055,398.4612472,352.3402223,349.5337944,334.3662432,373.8360659,319.6946999,340.1439776,315.1142493,399.6194199,355.4447386,361.6492046,336.7260619,341.4422595,380.0774622,372.7996075,380.3322402,344.8180009,340.3254486,310.3006303,358.4221496,346.8033133,323.6575381,335.0325222,-0.419513,-0.578583,-0.419513,-0.578583,-0.419513,-0.578583,-0.496089,-0.493695,-0.496089,-0.493695,-0.496089,-0.493695,-0.471512,-0.498363,-0.464015,-0.491144,-0.456424,-0.483827,-0.541111,-0.390697,-0.492093,-0.330634,-0.438163,-0.267271,-0.419513,-0.578583,-0.419513,-0.578583,-0.419513,-0.578583,-0.496089,-0.493695,-0.496089,-0.493695
2022-05-23 15:05:21.270591-07:00,322.3434429,308.4594717,397.8860531,343.4885979,318.7642095,324.066899,344.1697574,372.2634059,365.6085578,311.16894,397.6081941,351.0245143,349.7427091,333.821239,375.6945716,319.4280712,338.2038369,313.7014009,400.2537936,355.0146107,361.9495553,335.7410916,342.2665527,377.7303338,373.1497266,382.4378655,345.8033475,340.7162326,310.1061652,357.1740197,346.1966129,324.1718401,335.0923825,-0.41936,-0.578883,-0.41936,-0.578883,-0.41936,-0.578883,-0.495947,-0.493969,-0.495947,-0.493969,-0.495947,-0.493969,-0.471417,-0.498718,-0.463898,-0.491486,-0.456285,-0.484154,-0.541063,-0.391004,-0.491973,-0.330914,-0.437961,-0.267515,-0.41936,-0.578883,-0.41936,-0.578883,-0.41936,-0.578883,-0.495947,-0.493969,-0.495947,-0.493969
2022-05-23 15:05:21.330253-07:00,320.1871824,305.7764543,396.699527,345.8335035,318.6318683,323.6055876,342.4624762,370.4105599,366.6717025,313.3959053,399.4206951,350.2796872,349.46717,334.534006,374.4395603,320.8965765,337.395382,315.7919091,401.3628314,356.0823832,362.3813626,335.653605,343.8438809,378.2372986,373.7985205,381.517624,346.257271,339.2404971,310.8852404,358.7697803,346.4355697,325.1517738,336.8544458,-0.419282,-0.579023,-0.419282,-0.579023,-0.419282,-0.579023,-0.495872,-0.494238,-0.495872,-0.494238,-0.495872,-0.494238,-0.471412,-0.498942,-0.46387,-0.491689,-0.456234,-0.484335,-0.541062,-0.391217,-0.491925,-0.331079,-0.437859,-0.267623,-0.419282,-0.579023,-0.419282,-0.579023,-0.419282,-0.579023,-0.495872,-0.494238,-0.495872,-0.494238
